Product,Category,Rating,Review,Platform,Date,Sentiment_score,Issue,RSI
Samsung Buds Live,Accessories,5.0,worth it house save decide although bag fight increase,AMAZON,2022-08-17,0.5859,none,0.06
Samsung Galaxy M14,Smartphone,2.0,waste of money issue display flickering,FLIPKART,2022-02-21,-0.4215,display,0.6536
Samsung Galaxy M53,Smartphone,5.0,excellent game threat see head cover task see,amazon,2023-07-18,0.0772,none,0.06
Samsung Galaxy Tab A8,Smartphone,4.0,good,AMAZON,2023-05-17,0.4404,none,0.135
Samsung Charger 25W,Accessories,1.0,average join hotel daughter water,AMAZON,2023-04-03,0.296,heating,0.56
Samsung Galaxy S21 FE,Smartphone,4.0,bad,flipkart,2022-10-13,-0.5423,general_issue,0.55192
Samsung Air Conditioner,Other,2.0,not worth the price,amazon,2022-07-29,-0.1695,none,0.3528
Samsung Buds 2,Accessories,5.0,excellent us indeed congress even truth example open north,FLIPKART,2022-06-28,0.7184,none,0.06
Samsung Charger 25W,Accessories,5.0,bad memory customer not exactly become,FLIPKART,2024-05-14,-0.5423,general_issue,0.47692
Samsung Charger 25W,Accessories,3.0,not great recognize science time cold plan some,FLIPKART,2022-03-07,-0.5096,none,0.41384000000000004
Samsung Galaxy Tab S7 FE,Smartphone,5.0,waste of money,AMAZON,2022-03-03,-0.4215,general_issue,0.42860000000000004
Samsung Soundbar,Other,1.0,nice product but a bit overpriced,amazon,2022-07-11,0.2263,none,0.36
Samsung Galaxy S22,Smartphone,4.0,good person eat chance second law new often,FLIPKART,2023-03-24,0.5994,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,4.0,good,amazon,2023-04-22,0.4404,none,0.135
Samsung Galaxy A34,Smartphone,5.0,not great support local collection rich church teach,AMAZON,2024-10-31,-0.2387,none,0.15548
Samsung Buds Live,Accessories,3.0,average,amazon,2022-02-24,0.0,none,0.21
Samsung Galaxy A14,Smartphone,4.0,excellent food debate nature anything interest,AMAZON,2023-02-12,0.7717,none,0.135
Samsung Galaxy Book 3,Smartphone,4.0,good require call his expect,FLIPKART,2024-05-09,0.4404,software,0.335
Samsung Galaxy Tab S7 FE,Smartphone,5.0,waste of money,amazon,2023-03-28,-0.4215,general_issue,0.42860000000000004
Samsung Galaxy S21 FE,Smartphone,5.0,waste of money talk interview institution research scene result,flipkart,2024-07-08,-0.4215,general_issue,0.42860000000000004
Samsung Galaxy A54,Smartphone,1.0,bad less relationship cultural store either,FLIPKART,2023-07-24,-0.5423,general_issue,0.77692
Samsung Galaxy M14,Smartphone,2.0,bad final north not analysis knowledge coach police issue display flickering,AMAZON,2022-01-14,-0.5423,display,0.7019200000000001
Samsung Galaxy A54,Smartphone,1.0,bad ever next always article news issue battery draining fast,FLIPKART,2022-11-23,-0.5423,battery,0.77692
Samsung Galaxy Tab A8,Smartphone,4.0,excellent,AMAZON,2024-05-15,0.5719,none,0.135
Samsung Galaxy Z Fold5,Smartphone,5.0,not worth the price,amazon,2023-11-28,-0.1695,none,0.12780000000000002
Samsung Galaxy Tab S7 FE,Smartphone,3.0,excellent finish direction rate finish season product college,FLIPKART,2023-07-24,0.5719,none,0.21
Samsung Galaxy M53,Smartphone,4.0,not great structure town large nothing than measure second,AMAZON,2022-11-15,-0.5096,none,0.33884000000000003
Samsung Galaxy Book 3,Smartphone,4.0,not great recent over would way there statement share,amazon,2023-03-17,-0.2718,none,0.24372
Samsung Buds 2,Accessories,4.0,not great,AMAZON,2023-11-21,-0.5096,none,0.33884000000000003
Samsung Galaxy A54,Smartphone,3.0,worth it business large agree group better republican tax,amazon,2022-07-29,0.743,none,0.21
Samsung Galaxy S21 FE,Smartphone,4.0,worth it,flipkart,2022-07-09,0.2263,none,0.135
Samsung Galaxy A34,Smartphone,2.0,waste of money issue overheating issue,FLIPKART,2024-02-18,-0.4215,heating,0.6536
Samsung Galaxy Tab A8,Smartphone,4.0,not great employee cup agree recognize religious,flipkart,2022-07-18,-0.2008,none,0.21532
Samsung Galaxy M53,Smartphone,1.0,not great land ask thing bag understand entire reality,AMAZON,2024-01-06,-0.5096,none,0.5638400000000001
Samsung Galaxy M53,Smartphone,3.0,good remain finish culture accept everything vote against issue overheating issue,flipkart,2023-12-06,0.6705,heating,0.41
Samsung Galaxy A34,Smartphone,3.0,worth it sell us night apply dinner,flipkart,2023-06-26,0.2263,software,0.41
Samsung Galaxy M14,Smartphone,4.0,not great level represent people,FLIPKART,2022-03-30,-0.5096,none,0.33884000000000003
Samsung Buds 2,Accessories,2.0,not great issue overheating issue,amazon,2024-07-29,-0.5096,heating,0.6888400000000001
