Product,Category,Rating,Review,Platform,Date,review_length
 Samsung Buds Live ,Earbuds,5,worth it house save decide although bag fight increase,AMAZON,2022-05-18 00:00:00,54
Samsung Galaxy M14,Phone,2,waste of money issue display flickering,FLIPKART,2023-09-24 00:00:00,39
Samsung Galaxy M53,Phone,5,excellent game threat see head cover task see,amazon,2024-12-14 00:00:00,45
 Samsung Galaxy Tab A8 ,Phone,4,good,AMAZON,2024-03-27 00:00:00,4
Samsung Charger 25W,Charger,1,average join hotel daughter water,AMAZON,2024-05-01 00:00:00,33
 Samsung Galaxy S21 FE ,Phone,4,bad,flipkart,2022-08-10 00:00:00,3
Samsung Air Conditioner,Other,2,not worth the price,amazon,2023-03-22,19
 Samsung Buds 2 ,Earbuds,5,excellent us indeed congress even truth example open north,FLIPKART,2024-08-20 00:00:00,58
Samsung Charger 25W,Charger,5,bad memory customer not exactly become,FLIPKART,2024-12-01 00:00:00,38
 Samsung Charger 25W ,Charger,3,not great recognize science time cold plan some,FLIPKART,2022-06-26 00:00:00,47
Samsung Galaxy Tab S7 FE,Phone,5,waste of money,AMAZON,2023-03-19 00:00:00,14
 Samsung Soundbar ,Other,1,nice product but a bit overpriced,amazon,2024-03-06,33
Samsung Galaxy S22,Phone,4,good person eat chance second law new often,FLIPKART,2022-03-01 00:00:00,43
 Samsung Galaxy Tab S7 FE ,Phone,4,good,amazon,2022-12-05 00:00:00,4
Samsung Galaxy A34,Phone,5,not great support local collection rich church teach,AMAZON,2024-01-27 00:00:00,52
Samsung Buds Live,Earbuds,3,average,amazon,2023-06-16 00:00:00,7
Samsung Galaxy A14,Phone,4,excellent food debate nature anything interest,AMAZON,2023-08-22 00:00:00,46
 Samsung Galaxy Book 3 ,Phone,4,good require call his expect,FLIPKART,2023-03-12 00:00:00,28
 Samsung Galaxy Tab S7 FE ,Phone,5,waste of money,amazon,2023-03-19 00:00:00,14
 Samsung Galaxy S21 FE ,Phone,5,waste of money talk interview institution research scene result,flipkart,2022-07-20 00:00:00,63
 Samsung Galaxy A54 ,Phone,1,bad less relationship cultural store either,FLIPKART,2023-02-20 00:00:00,43
Samsung Galaxy M14,Phone,2,bad final north not analysis knowledge coach police issue display flickering,AMAZON,2024-07-22 00:00:00,76
Samsung Galaxy A54,Phone,1,bad ever next always article news issue battery draining fast,FLIPKART,2024-06-22 00:00:00,61
Samsung Galaxy Tab A8,Phone,4,excellent,AMAZON,2022-05-20 00:00:00,9
Samsung Galaxy Z Fold5,Phone,5,not worth the price,amazon,2023-10-12,19
Samsung Galaxy Tab S7 FE,Phone,3,excellent finish direction rate finish season product college,FLIPKART,2023-09-08 00:00:00,61
Samsung Galaxy M53,Phone,4,not great structure town large nothing than measure second,AMAZON,2023-10-02 00:00:00,58
Samsung Galaxy Book 3,Phone,4,not great recent over would way there statement share,amazon,2023-02-02 00:00:00,53
Samsung Buds 2,Earbuds,4,not great,AMAZON,2024-09-23 00:00:00,9
Samsung Galaxy A54,Phone,3,worth it business large agree group better republican tax,amazon,2023-04-13 00:00:00,57
Samsung Galaxy S21 FE,Phone,4,worth it,flipkart,2024-06-02 00:00:00,8
Samsung Galaxy A34,Phone,2,waste of money issue overheating issue,FLIPKART,2022-01-21 00:00:00,38
Samsung Galaxy Tab A8,Phone,4,not great employee cup agree recognize religious,flipkart,2023-02-23 00:00:00,48
Samsung Galaxy M53,Phone,1,not great land ask thing bag understand entire reality,AMAZON,2023-10-18 00:00:00,54
Samsung Galaxy M53,Phone,3,good remain finish culture accept everything vote against issue overheating issue,flipkart,2024-08-29 00:00:00,81
Samsung Galaxy A34,Phone,3,worth it sell us night apply dinner,flipkart,2022-11-28 00:00:00,35
Samsung Galaxy M14,Phone,4,not great level represent people,FLIPKART,2022-07-11 00:00:00,32
Samsung Buds 2,Earbuds,2,not great issue overheating issue,amazon,2022-04-05 00:00:00,33
Samsung Galaxy A14,Phone,4,waste of money production share evidence let,AMAZON,2023-07-19 00:00:00,44
 Samsung Galaxy S23 ,Phone,3,not great wide executive strong every issue battery draining fast,AMAZON,2022-05-31 00:00:00,65
Samsung Galaxy M14,Phone,5,worth it admit most time partner in,AMAZON,2023-03-05 00:00:00,35
 Samsung Galaxy S23 ,Phone,1,very userfriendly interface,FLIPKART,2023-08-26,27
 Samsung Galaxy Tab S7 FE ,Phone,3,not great issue camera quality is poor,amazon,2023-08-14 00:00:00,38
Samsung Galaxy M53,Phone,4,good stock determine everybody property,FLIPKART,2022-10-30 00:00:00,39
 Samsung Galaxy Tab A8 ,Phone,2,good east keep though look think,flipkart,2024-05-25 00:00:00,32
Samsung Galaxy S21 FE,Phone,4,good,AMAZON,2022-12-09 00:00:00,4
Samsung Galaxy Tab S7 FE,Phone,4,average peace beyond just above movie training kid,amazon,2024-02-02 00:00:00,50
Samsung Galaxy A34,Phone,2,worth it issue charging problem,AMAZON,2024-02-21 00:00:00,31
 Samsung Galaxy S23 ,Phone,5,nice product but a bit overpriced,flipkart,2023-11-29,33
Samsung Air Conditioner,Other,4,build quality feels premium,amazon,2023-09-25,27
Samsung Galaxy A54,Phone,4,waste of money system technology success sport lose manage,amazon,2023-09-05 00:00:00,58
Samsung Galaxy S21 FE,Phone,3,not great fine remember music network anything draw issue battery draining fast,FLIPKART,2024-06-13 00:00:00,79
Samsung Soundbar,Other,5,very durable and reliable,FLIPKART,2024-09-30,25
Samsung Galaxy Book 3,Phone,2,average,FLIPKART,2022-10-07 00:00:00,7
