Review_ID,Product_ID,Platform_ID,Issue_ID,Date_ID,Rating,Sentiment_score,RSI
1,1,1,1,1,5,0.5859,0.06
2,2,1,2,2,2,-0.4215,0.6536
3,3,1,1,3,5,0.0772,0.06
4,4,2,1,4,4,0.4404,0.135
5,5,1,3,5,1,0.296,0.56
6,6,2,4,6,4,-0.5423,0.55192
7,7,1,4,7,2,-0.1695,0.5528
8,8,1,1,8,5,0.7184,0.06
9,5,1,1,9,5,-0.5423,0.27692
10,9,1,4,10,3,-0.5096,0.6138400000000002
11,10,1,1,11,5,-0.4215,0.2286
12,11,2,4,12,1,0.2263,0.56
13,12,1,1,13,4,0.5994,0.135
14,13,1,1,14,4,0.4404,0.135
15,14,2,1,15,5,-0.2387,0.15548
16,15,2,1,16,3,0.0,0.21
17,16,1,1,17,4,0.7717,0.135
18,17,1,5,18,4,0.4404,0.335
19,13,1,1,19,5,-0.4215,0.2286
20,6,2,1,20,5,-0.4215,0.2286
21,18,1,4,21,1,-0.5423,0.77692
22,2,1,2,22,2,-0.5423,0.7019200000000001
23,19,1,6,23,1,-0.5423,0.77692
24,20,1,1,24,4,0.5719,0.135
25,21,2,1,25,5,-0.1695,0.1278
26,10,2,1,26,3,0.5719,0.21
27,3,1,4,27,4,-0.5096,0.53884
28,22,2,1,28,4,-0.2718,0.24372
29,23,1,4,29,4,-0.5096,0.53884
30,19,1,1,30,3,0.743,0.21
31,24,2,1,31,4,0.2263,0.135
32,14,1,3,32,2,-0.4215,0.6536
33,20,2,1,33,4,-0.2008,0.21532
34,3,1,4,34,1,-0.5096,0.7638400000000001
35,3,1,3,35,3,0.6705,0.41
36,14,1,5,36,3,0.2263,0.41
37,2,2,4,37,4,-0.5096,0.53884
38,23,1,3,38,2,-0.5096,0.6888400000000001
39,16,1,1,39,4,-0.1531,0.19624
40,25,2,6,40,3,0.0015,0.41
41,2,1,1,41,5,0.4019,0.06
42,25,1,4,42,1,0.0,0.56
43,13,1,7,43,3,-0.7502,0.71008
44,3,1,1,44,4,0.4404,0.135
45,4,1,4,45,2,0.4404,0.485
46,24,1,1,46,4,0.4404,0.135
47,10,2,1,47,4,0.5423,0.135
48,14,2,6,48,2,-0.2023,0.56592
49,25,2,1,49,5,0.2263,0.06
50,7,1,8,50,4,0.0,0.335
51,19,1,1,51,4,-0.2023,0.21592
52,24,2,6,52,3,-0.5975,0.649
53,26,2,1,53,5,0.0,0.06
54,22,2,4,54,2,0.0,0.485
55,27,1,1,55,4,-0.1265,0.1856
56,28,2,1,56,5,0.5719,0.06
57,10,2,1,57,4,0.7096,0.135
58,3,1,6,58,2,-0.4215,0.6536
59,28,2,6,59,2,0.25,0.485
60,29,2,4,60,3,-0.5423,0.6269200000000001
61,8,2,1,61,5,-0.5096,0.26384
62,30,1,7,62,3,0.6369,0.41
63,31,1,8,63,2,0.0,0.485
64,32,2,4,64,2,0.0,0.485
65,13,1,1,65,5,0.0,0.06
66,5,1,6,66,3,0.0258,0.41
67,5,1,6,67,3,-0.5719,0.63876
68,20,2,1,44,4,0.4404,0.135
69,19,1,1,68,3,0.7783,0.21
70,33,2,2,69,3,0.5859,0.41
71,15,1,4,70,4,-0.7096,0.6188400000000001
72,27,1,6,71,1,0.4404,0.56
73,4,2,1,72,5,0.0,0.06
74,14,2,9,73,3,0.8885,0.41
75,4,1,1,74,5,-0.5423,0.27692
76,34,2,1,75,3,0.2263,0.21
77,21,2,10,76,1,0.5859,0.56
78,2,2,1,77,4,-0.1531,0.19624
79,35,2,7,78,2,0.6369,0.485
80,26,1,10,79,1,0.5859,0.56
81,36,1,4,80,1,-0.4215,0.7286000000000001
82,18,2,4,81,3,-0.5423,0.6269200000000001
83,29,2,4,82,4,-0.7115,0.6196000000000002
84,29,1,4,25,4,-0.5423,0.55192
85,8,2,2,83,2,0.2732,0.485
86,29,2,9,84,3,0.5719,0.41
87,37,1,4,85,1,0.7778,0.56
88,20,2,1,86,4,0.2263,0.135
89,10,1,1,87,5,-0.5423,0.27692
90,15,2,3,88,3,-0.4215,0.5786
91,38,2,1,89,4,0.4404,0.135
92,27,1,6,90,1,-0.3875,0.7150000000000001
93,16,2,1,91,3,0.4404,0.21
94,19,2,7,92,3,-0.4215,0.5786
95,21,2,9,35,2,0.7351,0.485
96,15,2,1,24,5,0.0,0.06
97,14,1,2,93,3,-0.6908,0.68632
98,28,2,3,94,2,-0.4577,0.66808
99,6,1,6,95,2,0.296,0.485
100,17,1,1,96,4,0.2263,0.135
101,24,2,1,97,5,-0.5096,0.26384
102,3,2,1,93,4,0.5719,0.135
103,12,1,1,98,4,0.2263,0.135
104,15,1,4,99,2,-0.5423,0.7019200000000001
105,10,2,4,100,3,-0.5096,0.6138400000000002
106,7,2,10,101,1,0.5859,0.56
107,39,2,1,102,4,0.0,0.135
108,40,1,1,103,4,0.0,0.135
109,6,2,7,104,3,0.3818,0.41
110,12,1,4,105,4,-0.5423,0.55192
111,24,1,1,106,5,0.0,0.06
112,25,1,4,107,3,-0.5267,0.6206800000000001
113,27,1,3,108,5,0.0,0.26
114,41,2,1,109,4,0.2263,0.135
115,20,2,6,28,1,-0.6705,0.8282
116,20,1,1,110,5,0.0,0.06
117,2,2,4,111,4,-0.5096,0.53884
118,10,1,1,112,4,-0.2263,0.22552
119,27,1,6,113,3,-0.2023,0.49092
120,42,1,1,114,3,0.0,0.21
121,23,1,5,115,4,-0.711,0.6194
122,39,2,4,116,4,-0.3182,0.46228
123,40,2,7,117,1,-0.3182,0.6872800000000001
124,43,2,9,118,3,0.0,0.41
125,15,2,2,119,3,-0.5423,0.6269200000000001
126,29,2,1,120,5,-0.4215,0.2286
127,44,1,4,121,2,-0.5096,0.6888400000000001
128,22,2,1,122,4,0.4404,0.135
129,20,1,1,123,5,-0.3818,0.21272
130,38,1,4,124,1,-0.5096,0.7638400000000001
131,9,2,6,125,3,0.0,0.41
132,5,2,2,126,3,-0.2023,0.49092
133,41,2,4,127,4,-0.4215,0.5036
134,4,1,1,94,3,0.5859,0.21
135,21,2,1,7,5,0.0,0.06
136,14,1,6,128,2,-0.6705,0.7532000000000001
137,24,1,8,129,4,0.4404,0.335
138,15,2,1,130,4,0.4404,0.135
139,6,2,2,131,3,0.6597,0.41
140,40,1,1,132,4,0.4588,0.135
141,17,2,1,133,5,-0.5423,0.27692
142,16,1,6,134,3,0.6369,0.41
143,3,2,1,135,5,0.7506,0.06
144,4,2,4,136,4,-0.5096,0.53884
145,22,1,1,137,5,-0.4215,0.2286
146,36,1,1,138,3,0.4404,0.21
147,40,1,9,139,1,-0.4215,0.7286000000000001
148,40,1,7,140,3,0.4404,0.41
149,41,2,1,141,5,0.4404,0.06
150,17,1,1,142,4,0.4215,0.135
151,10,1,9,143,1,0.743,0.56
152,41,1,4,144,4,-0.5096,0.53884
153,36,1,1,145,4,0.0,0.135
154,14,2,4,146,4,-0.4215,0.5036
155,20,1,4,147,4,-0.5423,0.55192
156,27,2,1,148,3,0.0,0.21
157,14,2,1,149,5,0.0,0.06
158,38,2,11,150,4,-0.4215,0.5036
159,3,2,6,151,2,-0.1779,0.55616
