Product,Category,Product_ID
Samsung Buds Live,Accessories,1
Samsung Galaxy M14,Smartphone,2
Samsung Galaxy M53,Smartphone,3
Samsung Galaxy Tab A8,Smartphone,4
Samsung Charger 25W,Accessories,5
Samsung Galaxy S21 FE,Smartphone,6
Samsung Air Conditioner,Other,7
Samsung Buds 2,Accessories,8
Samsung Galaxy Tab S7 FE,Smartphone,9
Samsung Soundbar,Other,10
Samsung Galaxy S22,Smartphone,11
Samsung Galaxy A34,Smartphone,12
Samsung Galaxy A14,Smartphone,13
Samsung Galaxy Book 3,Smartphone,14
Samsung Galaxy A54,Smartphone,15
Samsung Galaxy Z Fold5,Smartphone,16
Samsung Galaxy S23,Smartphone,17
Samsung Crystal UHD TV,TV,18
Samsung Washing Machine,Other,19
Samsung Galaxy Buds2,Smartphone,20
Samsung Refrigerator,Other,21
Samsung Galaxy Book 2,Smartphone,22
Samsung Galaxy M34,Smartphone,23
Samsung Galaxy Watch6,Smartphone,24
Samsung QLED TV,TV,25
