Product,Category,Total_Reviews,Avg_Rating,Avg_Sentiment,Avg_RSI,High_Risk_Reviews,Negative_Reviews,Issue_Count,Trend_Slope,High_Risk_Pct,Negative_Pct,Issue_Density_Pct,Composite_Risk_Score,Risk_Tier
Samsung Buds 2,Accessories,473,3.556025369978858,-0.009338689217758989,0.37592769556025374,149,220,287,0.0005735158124373194,31.5,46.51,60.68,0.5338,Critical Risk
Samsung Galaxy Tab A8,Smartphone,501,3.5449101796407185,0.005303592814371252,0.3727777245508982,155,227,300,-0.000534300691107193,30.94,45.31,59.88,0.5204,Critical Risk
Samsung Galaxy S22,Smartphone,477,3.49685534591195,0.02024591194968553,0.36120352201257866,140,197,265,0.0006600068158957156,29.35,41.3,55.56,0.5132,Critical Risk
Samsung Galaxy M14,Smartphone,424,3.516509433962264,0.0018042452830188645,0.37358867924528305,120,190,252,0.00013050367157510024,28.3,44.81,59.43,0.5125,Critical Risk
Samsung Galaxy A54,Smartphone,414,3.5676328502415457,0.04100289855072463,0.35956125603864736,116,173,242,0.0010402489530518932,28.02,41.79,58.45,0.5118,Critical Risk
Samsung Buds Live,Accessories,460,3.4717391304347824,-0.018767608695652176,0.37719913043478265,139,212,266,-0.0005088542621513945,30.22,46.09,57.83,0.511,Critical Risk
Samsung Galaxy Tab S7 FE,Smartphone,507,3.57396449704142,0.027083826429980272,0.3557614990138067,144,210,289,-0.00011076453221873406,28.4,41.42,57.0,0.5104,Critical Risk
Samsung Galaxy A14,Smartphone,394,3.436548223350254,0.03873984771573604,0.36801949238578685,113,157,233,-0.0003513818114072653,28.68,39.85,59.14,0.4906,Critical Risk
Samsung Galaxy Book 3,Smartphone,338,3.621301775147929,0.0019553254437869776,0.3649,87,148,201,2.0643733391212647e-05,25.74,43.79,59.47,0.4901,Moderate Risk
Samsung Galaxy M34,Smartphone,426,3.640845070422535,0.005303755868544595,0.3520336150234742,110,188,232,-0.00031015093929883856,25.82,44.13,54.46,0.4897,Moderate Risk
Samsung Galaxy S21 FE,Smartphone,403,3.635235732009926,0.009017866004962771,0.35357816377171214,110,174,218,-0.00011239999521133957,27.3,43.18,54.09,0.4861,Moderate Risk
Samsung Charger 25W,Accessories,477,3.5786163522012577,0.03487547169811321,0.3525310691823899,123,203,263,-0.0013987933964911409,25.79,42.56,55.14,0.4846,Moderate Risk
Samsung Galaxy M53,Smartphone,449,3.6057906458797326,0.023810467706013357,0.349292561247216,112,187,244,-0.0007002650524045342,24.94,41.65,54.34,0.4843,Moderate Risk
Samsung Galaxy Book 2,Smartphone,333,3.4564564564564564,0.013867867867867863,0.3680595795795796,105,149,183,-0.00012656951328379932,31.53,44.74,54.95,0.4805,Moderate Risk
Samsung Galaxy S23,Smartphone,433,3.6189376443418015,0.039984064665127016,0.3478295612009238,101,170,244,-0.0009977740444471533,23.33,39.26,56.35,0.4772,Moderate Risk
Samsung Galaxy A34,Smartphone,425,3.6588235294117646,0.003362352941176467,0.3606359529411765,115,190,246,-0.0023425842566632497,27.06,44.71,57.88,0.473,Moderate Risk
Samsung Washing Machine,Other,36,2.8333333333333335,0.2578916666666667,0.3313044444444444,3,4,17,0.009184495652173913,8.33,11.11,47.22,0.4676,Low Risk
Samsung Galaxy Buds2,Smartphone,32,2.625,0.2477,0.35216125000000004,9,3,16,0.007787864661654138,28.12,9.38,50.0,0.4576,Low Risk
Samsung QLED TV,TV,34,3.0588235294117645,0.2527529411764706,0.3151847058823529,2,3,17,0.0024414982119329944,5.88,8.82,50.0,0.3757,Low Risk
Samsung Air Conditioner,Other,29,2.7241379310344827,0.24799310344827588,0.3315958620689655,6,3,13,0.0010326178190574495,20.69,10.34,44.83,0.353,Low Risk
Samsung Galaxy Watch6,Smartphone,36,3.0,0.23674722222222222,0.32436,4,4,18,-0.0017851581027667992,11.11,11.11,50.0,0.3266,Low Risk
Samsung Galaxy Z Fold5,Smartphone,35,3.085714285714286,0.2526771428571429,0.30405600000000005,5,4,15,-0.0025391643139469223,14.29,11.43,42.86,0.2966,Low Risk
Samsung Soundbar,Other,33,2.878787878787879,0.20413939393939395,0.3196048484848485,5,4,14,-0.003213370927318295,15.15,12.12,42.42,0.2921,Low Risk
Samsung Refrigerator,Other,33,3.242424242424242,0.2646818181818182,0.29261454545454546,3,3,15,-0.003894793901750424,9.09,9.09,45.45,0.2766,Low Risk
Samsung Crystal UHD TV,TV,34,2.9705882352941178,0.25732941176470586,0.3274105882352941,5,4,17,-0.00979588471177945,14.71,11.76,50.0,0.2226,Low Risk
