YearMonth,Category,Platform,Review_Volume,Avg_Rating,Avg_Sentiment,Avg_RSI,Rolling_3M_RSI
2022-01,Accessories,AMAZON,11,3.0,0.1062090909090909,0.43005090909090904,0.4301
2022-01,Accessories,FLIPKART,8,3.25,0.1725875,0.35512,0.3551
2022-01,Accessories,amazon,9,3.6666666666666665,0.20655555555555552,0.20487111111111111,0.2049
2022-01,Accessories,flipkart,3,3.6666666666666665,-0.25,0.45205333333333336,0.4521
2022-01,Other,FLIPKART,1,3.0,0.5859,0.41,0.41
2022-01,Other,amazon,1,4.0,0.0,0.335,0.335
2022-01,Smartphone,AMAZON,44,3.6136363636363638,-0.000547727272727273,0.3731845454545455,0.3732
2022-01,Smartphone,FLIPKART,36,3.75,0.08373055555555554,0.33703777777777777,0.337
2022-01,Smartphone,amazon,38,3.6052631578947367,-0.05262894736842106,0.3759421052631579,0.3759
2022-01,Smartphone,flipkart,32,3.34375,-0.172971875,0.44069125000000003,0.4407
2022-02,Accessories,AMAZON,11,3.0,0.13694545454545454,0.37119636363636366,0.4006
2022-02,Accessories,FLIPKART,10,3.0,0.55933,0.326076,0.3406
2022-02,Accessories,amazon,9,3.5555555555555554,-0.1272,0.3627288888888889,0.2838
2022-02,Accessories,flipkart,9,3.4444444444444446,0.14664444444444447,0.32395111111111113,0.388
2022-02,Other,AMAZON,1,1.0,0.4404,0.36,0.36
2022-02,Other,FLIPKART,1,5.0,0.2263,0.06,0.235
2022-02,Smartphone,AMAZON,32,3.5625,-0.01842812500000001,0.3321275,0.3527
2022-02,Smartphone,FLIPKART,26,3.3846153846153846,-0.04948076923076926,0.42122615384615386,0.3791
2022-02,Smartphone,amazon,26,3.6538461538461537,-0.0033461538461538533,0.38225846153846155,0.3791
2022-02,Smartphone,flipkart,31,3.6774193548387095,0.11833548387096775,0.3384077419354839,0.3895
2022-03,Accessories,AMAZON,6,3.5,-0.007550000000000001,0.41820666666666667,0.4065
2022-03,Accessories,FLIPKART,10,2.9,0.08213,0.347288,0.3428
2022-03,Accessories,amazon,16,3.125,0.034156250000000006,0.41972,0.3291
2022-03,Accessories,flipkart,11,4.181818181818182,0.052499999999999984,0.31153090909090914,0.3625
2022-03,Smartphone,AMAZON,28,3.5,0.050025,0.33384857142857144,0.3464
2022-03,Smartphone,FLIPKART,48,3.5208333333333335,-0.0027708333333333313,0.3463441666666667,0.3682
2022-03,Smartphone,amazon,41,4.097560975609756,0.051178048780487796,0.31058146341463416,0.3563
2022-03,Smartphone,flipkart,42,3.261904761904762,0.007104761904761901,0.3852647619047619,0.3881
2022-03,TV,FLIPKART,3,4.333333333333333,0.3353333333333333,0.17666666666666667,0.1767
2022-03,TV,amazon,1,3.0,0.0,0.41,0.41
2022-03,TV,flipkart,1,2.0,0.5859,0.485,0.485
2022-04,Accessories,AMAZON,10,3.0,-0.26752000000000004,0.5222040000000001,0.4372
2022-04,Accessories,FLIPKART,12,3.5833333333333335,0.11659166666666665,0.3708,0.3481
2022-04,Accessories,amazon,14,3.2857142857142856,0.18698571428571428,0.3430771428571429,0.3752
2022-04,Accessories,flipkart,11,3.5454545454545454,0.1771181818181818,0.30404000000000003,0.3132
2022-04,Other,AMAZON,1,2.0,0.4404,0.285,0.3225
2022-04,Other,FLIPKART,1,5.0,0.5859,0.26,0.2433
2022-04,Other,amazon,2,2.5,0.0,0.3475,0.3412
2022-04,Smartphone,AMAZON,35,3.4,0.09314571428571428,0.3542045714285715,0.3401
2022-04,Smartphone,FLIPKART,33,3.4545454545454546,0.05969696969696969,0.35361333333333334,0.3737
2022-04,Smartphone,amazon,47,3.425531914893617,0.03406170212765957,0.34490723404255325,0.3459
2022-04,Smartphone,flipkart,34,3.411764705882353,0.06579117647058823,0.38767647058823534,0.3704
2022-04,TV,FLIPKART,1,3.0,0.0,0.41,0.2933
2022-05,Accessories,AMAZON,14,3.142857142857143,0.08609285714285712,0.3709685714285715,0.4371
2022-05,Accessories,FLIPKART,11,3.1818181818181817,0.03079090909090907,0.33319272727272725,0.3504
2022-05,Accessories,amazon,10,3.4,-0.27786,0.41856400000000005,0.3938
2022-05,Accessories,flipkart,10,3.7,-0.03162999999999999,0.40235200000000004,0.3393
2022-05,Other,AMAZON,2,4.5,0.6718999999999999,0.1975,0.2808
2022-05,Other,FLIPKART,1,5.0,0.0,0.26,0.1933
2022-05,Other,amazon,1,1.0,0.0,0.56,0.4142
2022-05,Other,flipkart,1,4.0,0.0,0.335,0.335
2022-05,Smartphone,AMAZON,35,3.4285714285714284,0.04446285714285714,0.3702948571428572,0.3528
2022-05,Smartphone,FLIPKART,38,3.3421052631578947,-0.16666315789473685,0.43665368421052636,0.3789
2022-05,Smartphone,amazon,30,3.5,-0.04122333333333334,0.37399200000000005,0.3432
2022-05,Smartphone,flipkart,41,3.6097560975609757,0.08380731707317074,0.32032,0.3644
2022-05,TV,flipkart,1,5.0,0.4404,0.06,0.2725
2022-06,Accessories,AMAZON,15,3.2,-0.07328000000000001,0.427872,0.4403
2022-06,Accessories,FLIPKART,8,3.5,0.11131250000000001,0.319765,0.3413
2022-06,Accessories,amazon,12,2.8333333333333335,-0.289,0.4936933333333333,0.4184
2022-06,Accessories,flipkart,11,3.727272727272727,-0.17701818181818182,0.40436,0.3703
2022-06,Other,AMAZON,3,1.6666666666666667,0.1468,0.37666666666666665,0.2864
2022-06,Other,FLIPKART,1,1.0,0.0,0.56,0.36
2022-06,Other,amazon,2,3.5,0.59895,0.1725,0.36
2022-06,Smartphone,AMAZON,37,3.7027027027027026,0.03922432432432432,0.3365145945945946,0.3537
2022-06,Smartphone,FLIPKART,47,3.765957446808511,-0.021870212765957454,0.3539302127659575,0.3814
2022-06,Smartphone,amazon,32,3.75,0.05129999999999999,0.30781875000000003,0.3422
2022-06,Smartphone,flipkart,40,3.65,-0.1709675,0.409799,0.3726
2022-06,TV,amazon,1,2.0,0.0,0.485,0.4475
2022-07,Accessories,AMAZON,8,2.875,-0.09925,0.4353,0.4114
2022-07,Accessories,FLIPKART,8,4.375,-0.166325,0.33630000000000004,0.3298
2022-07,Accessories,amazon,14,3.642857142857143,0.20688571428571428,0.34053142857142854,0.4176
2022-07,Accessories,flipkart,15,4.066666666666666,-0.22075999999999998,0.359888,0.3889
2022-07,Other,AMAZON,2,3.5,0.3889,0.1725,0.2489
2022-07,Other,FLIPKART,1,5.0,0.5859,0.26,0.36
2022-07,Other,amazon,4,2.25,-0.10497500000000001,0.38087,0.3711
2022-07,Other,flipkart,2,4.0,-0.08475,0.1689,0.252
2022-07,Smartphone,AMAZON,42,3.5952380952380953,-0.20576666666666668,0.4132152380952381,0.3733
2022-07,Smartphone,FLIPKART,41,3.8780487804878048,0.11280975609756097,0.2787970731707317,0.3565
2022-07,Smartphone,amazon,41,3.707317073170732,0.012263414634146345,0.36432390243902435,0.3487
2022-07,Smartphone,flipkart,43,3.953488372093023,0.10637906976744187,0.29692651162790695,0.3423
2022-07,TV,AMAZON,2,3.0,0.29295,0.41000000000000003,0.41
2022-07,TV,amazon,1,5.0,0.7778,0.06,0.3183
2022-07,TV,flipkart,1,2.0,0.2263,0.285,0.2767
2022-08,Accessories,AMAZON,13,3.5384615384615383,-0.020623076923076935,0.39997230769230774,0.421
2022-08,Accessories,FLIPKART,10,4.1,0.27646,0.24666800000000003,0.3009
2022-08,Accessories,amazon,10,3.7,0.11969999999999999,0.37188000000000004,0.402
2022-08,Accessories,flipkart,14,3.642857142857143,0.03253571428571427,0.35815428571428576,0.3741
2022-08,Other,AMAZON,1,2.0,0.7778,0.285,0.2781
2022-08,Other,FLIPKART,4,2.75,0.6247499999999999,0.32875,0.3829
2022-08,Other,flipkart,3,1.6666666666666667,0.2707333333333333,0.44333333333333336,0.3157
2022-08,Smartphone,AMAZON,39,3.4615384615384617,0.010823076923076916,0.37291794871794876,0.3742
2022-08,Smartphone,FLIPKART,39,3.58974358974359,0.05783846153846154,0.3463948717948718,0.3264
2022-08,Smartphone,amazon,48,3.5,0.01604375,0.3653575,0.3458
2022-08,Smartphone,flipkart,36,3.6666666666666665,-0.04563055555555556,0.34424333333333335,0.3503
2022-08,TV,AMAZON,1,1.0,0.4404,0.36,0.385
2022-08,TV,FLIPKART,2,2.0,0.7564500000000001,0.385,0.3239
2022-08,TV,amazon,2,1.5,-0.08475,0.3564,0.3005
2022-09,Accessories,AMAZON,12,3.9166666666666665,0.16244166666666668,0.26237,0.3659
2022-09,Accessories,FLIPKART,13,2.8461538461538463,0.32173076923076926,0.35168307692307693,0.3116
2022-09,Accessories,amazon,7,3.4285714285714284,-0.05481428571428572,0.42726857142857144,0.3799
2022-09,Accessories,flipkart,4,3.75,0.08897499999999998,0.35987,0.3593
2022-09,Other,AMAZON,2,2.0,0.3232,0.285,0.2475
2022-09,Other,flipkart,1,2.0,0.4404,0.285,0.2991
2022-09,Smartphone,AMAZON,37,3.5135135135135136,0.12741081081081082,0.3432972972972973,0.3765
2022-09,Smartphone,FLIPKART,36,3.611111111111111,0.12791111111111111,0.3307388888888889,0.3186
2022-09,Smartphone,amazon,41,3.731707317073171,-0.0010853658536585308,0.35046731707317075,0.36
2022-09,Smartphone,flipkart,31,3.5806451612903225,0.04106129032258064,0.37646709677419354,0.3392
2022-09,TV,FLIPKART,1,1.0,0.7351,0.56,0.4517
2022-09,TV,amazon,1,5.0,0.0,0.26,0.2255
2022-09,TV,flipkart,1,2.0,0.6369,0.485,0.2767
2022-10,Accessories,AMAZON,14,3.4285714285714284,0.029150000000000002,0.3202457142857143,0.3275
2022-10,Accessories,FLIPKART,15,3.2666666666666666,-0.015233333333333344,0.39131733333333335,0.3299
2022-10,Accessories,amazon,13,3.6153846153846154,0.07769230769230767,0.3195261538461539,0.3729
2022-10,Accessories,flipkart,7,4.0,-0.03147142857142858,0.38294857142857147,0.367
2022-10,Other,FLIPKART,1,1.0,0.4404,0.36,0.3162
2022-10,Other,flipkart,2,5.0,0.6113999999999999,0.26,0.3294
2022-10,Smartphone,AMAZON,41,3.5853658536585367,-0.0051024390243902575,0.35364975609756094,0.3566
2022-10,Smartphone,FLIPKART,43,3.5348837209302326,-0.016279069767441857,0.399693023255814,0.3589
2022-10,Smartphone,amazon,44,3.590909090909091,0.02058636363636363,0.38268454545454544,0.3662
2022-10,Smartphone,flipkart,40,3.275,0.03612249999999999,0.399242,0.3733
2022-10,TV,AMAZON,1,5.0,0.0,0.06,0.2767
2022-10,TV,FLIPKART,1,4.0,0.0,0.135,0.36
2022-10,TV,flipkart,1,4.0,0.0,0.135,0.3017
2022-11,Accessories,AMAZON,12,3.6666666666666665,-0.0004833333333333449,0.36602,0.3162
2022-11,Accessories,FLIPKART,6,3.3333333333333335,0.06093333333333334,0.3066533333333334,0.3499
2022-11,Accessories,amazon,10,4.1,0.23507000000000003,0.247804,0.3315
2022-11,Accessories,flipkart,7,4.142857142857143,-0.040757142857142874,0.37283428571428573,0.3719
2022-11,Other,FLIPKART,3,4.333333333333333,0.4479333333333333,0.24333333333333332,0.3107
2022-11,Smartphone,AMAZON,51,3.0588235294117645,0.04754509803921567,0.3929356862745098,0.3633
2022-11,Smartphone,FLIPKART,41,3.5365853658536586,0.12854878048780488,0.3180790243902439,0.3495
2022-11,Smartphone,amazon,42,3.2857142857142856,-0.032730952380952374,0.4262,0.3865
2022-11,Smartphone,flipkart,35,3.7142857142857144,0.10118285714285714,0.3293108571428572,0.3683
2022-11,TV,AMAZON,1,2.0,-0.4767,0.6756800000000001,0.3652
2022-11,TV,flipkart,1,4.0,0.0,0.335,0.3183
2022-12,Accessories,AMAZON,12,3.6666666666666665,-0.09545833333333335,0.3870133333333334,0.3578
2022-12,Accessories,FLIPKART,11,3.3636363636363638,-0.004563636363636376,0.36940727272727275,0.3558
2022-12,Accessories,amazon,12,3.8333333333333335,-0.03308333333333333,0.30809666666666663,0.2918
2022-12,Accessories,flipkart,12,3.25,0.06024999999999999,0.4084566666666667,0.3881
2022-12,Other,AMAZON,1,2.0,0.0,0.285,0.285
2022-12,Other,FLIPKART,1,3.0,0.0,0.41,0.3378
2022-12,Other,amazon,1,2.0,0.7351,0.485,0.3461
2022-12,Smartphone,AMAZON,30,3.6666666666666665,-0.017113333333333338,0.3509986666666667,0.3659
2022-12,Smartphone,FLIPKART,41,3.682926829268293,0.049199999999999994,0.34274829268292684,0.3535
2022-12,Smartphone,amazon,29,3.3448275862068964,-0.08011724137931035,0.40878620689655176,0.4059
2022-12,Smartphone,flipkart,44,3.272727272727273,-0.0696909090909091,0.4388890909090909,0.3891
2022-12,TV,FLIPKART,2,2.5,0.5285,0.3475,0.3475
2022-12,TV,amazon,1,3.0,0.0,0.21,0.2755
2023-01,Accessories,AMAZON,9,4.333333333333333,0.08109999999999999,0.28659555555555555,0.3465
2023-01,Accessories,FLIPKART,13,3.769230769230769,-0.048307692307692315,0.4044861538461539,0.3602
2023-01,Accessories,amazon,9,3.5555555555555554,-0.015377777777777787,0.38408444444444445,0.3133
2023-01,Accessories,flipkart,8,3.625,-0.1892875,0.384195,0.3885
2023-01,Other,AMAZON,1,4.0,0.0,0.335,0.3017
2023-01,Other,FLIPKART,2,2.5,0.6091,0.3475,0.3336
2023-01,Other,amazon,1,5.0,-0.4767,0.45068,0.4388
2023-01,Smartphone,AMAZON,45,3.3555555555555556,-0.04076888888888889,0.3894746666666667,0.3778
2023-01,Smartphone,FLIPKART,38,3.5,-0.021513157894736845,0.3628126315789474,0.3412
2023-01,Smartphone,amazon,33,3.515151515151515,-0.1106060606060606,0.3884678787878788,0.4078
2023-01,Smartphone,flipkart,42,3.4285714285714284,-0.04001428571428572,0.3662228571428572,0.3781
2023-01,TV,AMAZON,1,1.0,0.0,0.56,0.4319
2023-01,TV,amazon,1,2.0,0.0,0.285,0.2517
2023-02,Accessories,AMAZON,13,3.923076923076923,-0.06888461538461539,0.3699046153846154,0.3478
2023-02,Accessories,FLIPKART,9,3.4444444444444446,-0.41806666666666664,0.5248666666666666,0.4329
2023-02,Accessories,amazon,8,3.25,-0.191525,0.47575,0.3893
2023-02,Accessories,flipkart,4,3.5,0.23957499999999998,0.24273,0.3451
